2021-06-09 14:53:28	2021-06-09 15:07:56	10.23.74.191	14.47	451.17	User Request
2021-06-09 13:04:19	2021-06-09 14:55:16	10.23.136.88	110.95	515.10	Lost Carrier
2021-06-09 10:22:01	2021-06-09 13:04:32	10.23.135.144	162.52	1673.58	Admin Reset
2021-06-09 09:02:56	2021-06-09 10:22:06	10.22.65.159	79.17	70.20	Admin Reset
2021-06-09 07:00:37	2021-06-09 08:51:15	10.23.144.72	110.63	4692.69	Lost Service
2021-06-08 19:42:35	2021-06-08 22:30:25	10.23.141.83	167.83	668.94	Lost Service
2021-06-08 10:05:18	2021-06-08 18:39:59	10.23.148.112	514.68	7532.36	Lost Service
2021-06-07 18:02:47	2021-06-07 22:27:13	10.23.70.203	264.43	10876.95	Lost Service
2021-06-07 14:20:06	2021-06-07 18:02:47	10.23.136.57	222.68	9615.79	User Request
2021-06-07 14:19:31	2021-06-07 14:20:05	10.23.136.57	0.57	45.64	User Request
2021-06-07 09:46:44	2021-06-07 14:19:26	10.23.142.237	272.70	17785.38	User Request
2021-06-06 18:22:01	2021-06-06 22:25:35	10.23.65.102	243.57	5734.10	Lost Service
2021-06-06 17:15:01	2021-06-06 18:22:01	10.23.65.102	67.00	7332.70	User Request
2021-06-06 15:00:09	2021-06-06 17:14:53	10.23.73.138	134.73	148.57	Lost Service
2021-06-04 18:36:18	2021-06-04 20:51:59	10.22.64.179	135.68	544.46	Lost Service
2021-06-04 18:18:26	2021-06-04 18:35:24	10.22.68.243	16.97	19.04	Lost Carrier
2021-06-04 09:43:01	2021-06-04 17:41:19	10.23.147.200	478.30	2254.75	Lost Carrier
2021-06-03 21:56:22	2021-06-04 00:12:45	10.23.71.227	136.38	256.45	Lost Service
2021-06-03 06:51:16	2021-06-03 19:49:57	10.23.133.231	778.68	13367.78	Lost Service
2021-06-02 21:53:36	2021-06-02 22:59:52	10.23.70.53	66.27	578.89	Lost Service
2021-06-02 06:56:22	2021-06-02 20:44:41	10.23.142.144	828.32	2642.48	Lost Service
2021-06-01 20:34:44	2021-06-01 21:12:52	10.23.135.142	38.13	235.18	Lost Service
2021-06-01 18:24:35	2021-06-01 18:51:22	10.23.76.245	26.78	325.35	Lost Service
2021-06-01 13:45:13	2021-06-01 18:22:29	10.23.68.16	277.27	75705.30	Lost Service
2021-06-01 13:40:25	2021-06-01 13:45:16	10.23.64.220	4.85	344.73	Admin Reset
